date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-06-01,sh.600000,10.2300000000,10.2600000000,10.1800000000,10.1900000000,10.2700000000,41880384,427253268.7600,2,0.142700,1,-0.779000,0
2021-06-02,sh.600000,10.2100000000,10.2300000000,10.1300000000,10.2200000000,10.1900000000,35830478,364475986.3200,2,0.122100,1,0.294400,0
2021-06-03,sh.600000,10.2100000000,10.3200000000,10.1800000000,10.2300000000,10.2200000000,52244908,535599653.0700,2,0.178000,1,0.097800,0
2021-06-04,sh.600000,10.2500000000,10.3800000000,10.1900000000,10.2300000000,10.2300000000,71052432,729772587.1900,2,0.242100,1,0.000000,0
2021-06-07,sh.600000,10.2600000000,10.2700000000,10.2000000000,10.2300000000,10.2300000000,36301400,371369101.7600,2,0.123700,1,0.000000,0
2021-06-08,sh.600000,10.2400000000,10.3300000000,10.1800000000,10.3100000000,10.2300000000,50838116,522323155.3400,2,0.173200,1,0.782000,0
2021-06-09,sh.600000,10.2900000000,10.3500000000,10.2100000000,10.2100000000,10.3100000000,56095091,575008506.5700,2,0.191100,1,-0.969900,0
2021-06-10,sh.600000,10.2100000000,10.3100000000,10.2000000000,10.2300000000,10.2100000000,45685432,467893685.0100,2,0.155600,1,0.195900,0
2021-06-11,sh.600000,10.2400000000,10.2800000000,10.1100000000,10.1700000000,10.2300000000,58030251,591098508.1700,2,0.197700,1,-0.586500,0
2021-06-15,sh.600000,10.1500000000,10.1500000000,10.0100000000,10.0300000000,10.1700000000,46955773,472150826.0400,2,0.160000,1,-1.376600,0
